Fn,count,mean,std,min,25%,50%,75%,max
Age,1233.0,0.11795980895737586,0.8117041278547127,-1.4444444444444444,-0.4444444444444444,0.0,0.5555555555555556,4.555555555555555
support_available,1233.0,0.07866991078669913,0.8018017886077424,-1.0,-0.3333333333333333,0.0,0.6666666666666666,1.6666666666666667
disc_MH_atwork,1233.0,-0.047039740470397405,0.5228323331449105,-1.5,-0.5,0.0,0.5,1.5
FamHist_No,1233.0,-0.3909164639091646,0.4881537112178888,-1.0,-1.0,0.0,0.0,0.0
FamHist_Yes,1233.0,0.3909164639091646,0.4881537112178888,0.0,0.0,0.0,1.0,1.0
Gen_female,1233.0,0.19626926196269262,0.3973357279252634,0.0,0.0,0.0,0.0,1.0
Gen_male,1233.0,-0.21086780210867803,0.40809023409703615,-1.0,0.0,0.0,0.0,0.0
Gen_other,1233.0,0.014598540145985401,0.11998791293756857,0.0,0.0,0.0,0.0,1.0
Continent_Africa,1233.0,0.0056772100567721,0.07516356368943382,0.0,0.0,0.0,0.0,1.0
Continent_Americas,1233.0,-0.3381995133819951,0.47328878615193143,-1.0,-1.0,0.0,0.0,0.0
Continent_Asia,1233.0,0.021086780210867802,0.14373198281927593,0.0,0.0,0.0,0.0,1.0
Continent_Australia and Oceania,1233.0,0.023519870235198703,0.15160912812180474,0.0,0.0,0.0,0.0,1.0
Continent_Europe,1233.0,0.28791565287915655,0.45297532187795636,0.0,0.0,0.0,1.0,1.0
SelfEmp_No,1233.0,-0.1151662611516626,0.31935201097333854,-1.0,0.0,0.0,0.0,0.0
SelfEmp_Yes,1233.0,0.1151662611516626,0.31935201097333854,0.0,0.0,0.0,0.0,1.0
Remote_No,1233.0,-0.2960259529602595,0.45668779224502626,-1.0,-1.0,0.0,0.0,0.0
Remote_Yes,1233.0,0.2960259529602595,0.45668779224502626,0.0,0.0,0.0,1.0,1.0
Treat_No,1233.0,0.49472830494728304,0.5001750780994104,0.0,0.0,0.0,1.0,1.0
Treat_Yes,1233.0,-0.49472830494728304,0.5001750780994104,-1.0,-1.0,0.0,0.0,0.0
PhysCons_Maybe,1233.0,0.22060016220600162,0.4148195859209316,0.0,0.0,0.0,0.0,1.0
PhysCons_No,1233.0,-0.2660178426601784,0.4420529765729085,-1.0,-1.0,0.0,0.0,0.0
PhysCons_Yes,1233.0,0.0454176804541768,0.20830291748773078,0.0,0.0,0.0,0.0,1.0
MentInt_Maybe,1233.0,0.1630170316301703,0.36953109178268795,0.0,0.0,0.0,0.0,1.0
MentInt_No,1233.0,-0.19383617193836172,0.3954624480452044,-1.0,0.0,0.0,0.0,0.0
MentInt_Yes,1233.0,0.030819140308191405,0.1728975577546042,0.0,0.0,0.0,0.0,1.0
PhysInt_Maybe,1233.0,0.44363341443633414,0.4970142364361644,0.0,0.0,0.0,1.0,1.0
PhysInt_No,1233.0,0.39740470397404704,0.4895595813041467,0.0,0.0,0.0,1.0,1.0
PhysInt_Yes,1233.0,0.15896188158961883,0.3657888992821109,0.0,0.0,0.0,0.0,1.0
ObsCons_No,1233.0,-0.14517437145174372,0.35241949839522074,-1.0,0.0,0.0,0.0,0.0
ObsCons_Yes,1233.0,0.14517437145174372,0.35241949839522074,0.0,0.0,0.0,0.0,1.0
Anonymity_Don't know,1233.0,-0.3495539334955393,0.477022569049568,-1.0,-1.0,0.0,0.0,0.0
Anonymity_No,1233.0,0.0494728304947283,0.21694109661197303,0.0,0.0,0.0,0.0,1.0
Anonymity_Yes,1233.0,0.30008110300081103,0.4584789149948886,0.0,0.0,0.0,1.0,1.0
Leave_Don't know,1233.0,0.44768856447688565,0.49745775159052674,0.0,0.0,0.0,1.0,1.0
Leave_Somewhat difficult,1233.0,0.09813463098134631,0.29761730969253025,0.0,0.0,0.0,0.0,1.0
Leave_Somewhat easy,1233.0,0.21248986212489862,0.40923556401332833,0.0,0.0,0.0,0.0,1.0
Leave_Very difficult,1233.0,0.07785888077858881,0.26805811337679014,0.0,0.0,0.0,0.0,1.0
Leave_Very easy,1233.0,0.16382806163828062,0.37026965817340934,0.0,0.0,0.0,0.0,1.0
MentvsPhys_Don't know,1233.0,0.45904298459042986,0.49852189859433177,0.0,0.0,0.0,1.0,1.0
MentvsPhys_No,1233.0,0.2684509326845093,0.44333332026625544,0.0,0.0,0.0,1.0,1.0
MentvsPhys_Yes,1233.0,0.2725060827250608,0.4454294915966805,0.0,0.0,0.0,1.0,1.0
